PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI PKBR;MATERI LAINNYA;JUMLAH PERTEMUAN;JUMLAH REMAJA HADIR DALAM PERTEMUAN;JUMLAH PERTEMUAN MATERI PKBR OLEH PIK REMAJA;BULAN
SULAWESI BARAT;MAMASA;TABULAHAN;2005;SALULEANG;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2007;TAMPAK KURRA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2008;GANDANG DEWATA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2009;BURANA;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2010;SALUBAKKA;1;1;100.00;1;0;1;29;1;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2011;PANGANDARAN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2012;TALOPAK;1;1;100.00;1;0;1;27;1;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2013;PEU';1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2014;TIMORO;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2015;LAKAHANG UTAMA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;1011;MINAKE;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2001;MALABO;1;1;100.00;1;0;1;10;1;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2005;SINDAGAMANIK;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2006;PARONDOBULAWAN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2007;TAMALANTIK;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2008;MANNABABA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2009;MESAKADA;1;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2010;BALLABATU;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2012;PAMBE;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2013;SALURANO;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2014;TALIMBUNG;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2015;KANAN;1;1;100.00;1;0;1;37;1;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2001;SALUMOKANAN;1;1;100.00;1;0;1;7;1;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2003;SALUMOKANAN BARAT;1;1;100.00;1;0;1;8;1;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2004;BUANGIN;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2005;BAMBANG BUDA;1;1;100.00;1;0;1;7;1;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2006;LEKO;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2007;KIRAK;1;1;100.00;1;0;1;9;1;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2008;SALUMOKANAN UTARA;1;1;100.00;1;0;1;9;1;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2009;SAMPALE;1;1;100.00;1;0;1;8;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2001;MALEI;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2002;PEDANDA;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2003;BATU OGE;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;2004;MARTASARI;1;1;100.00;1;0;1;27;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1001;PASANGKAYU;5;5;100.00;5;0;5;125;5;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1002;MARTAJAYA;1;1;100.00;1;0;1;35;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2010;PAKAVA;1;1;100.00;1;0;1;35;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2014;KARYA BERSAMA;1;1;100.00;1;0;1;30;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2015;AKO;1;1;100.00;1;0;1;20;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2016;GUNUNG SARI;1;1;100.00;1;0;1;15;1;JANUARI
SULAWESI BARAT;MAMASA;TABANG;1001;TABANG;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2003;TADOKALUA;1;1;100.00;1;0;1;56;1;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2004;TABANG BARAT;1;1;100.00;1;0;1;35;1;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2005;MASUPU;1;1;100.00;1;0;1;25;1;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2006;KALAMA;0;0;0.00;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABANG;2007;BAKADISURA;0;0;0.00;0;0;0;0;0;JANUARI
