;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH PASCASALIN;BERISIKO;TIDAK BERISIKO;MELAHIRKAN NORMAL;MELAHIRKAN CAESAR;KOMPLIKASI SAAT NIFAS;TIDAK KOMPLIKASI SAAT NIFAS;PENDARAHAN;HIPERTENSI;INFEKSI;KOMPLIKASI LAINNYA;MINIMAL 1 HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;TIDAK ADA YANG HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;LAHIR HIDUP SAAT DILAHIRKAN;LAHIR MENINGGAL SAAT DILAHIRKAN;KEADAAN BAYI HIDUP;KEADAAN BAYI MENINGGAL;MENDAPATKAN HIDUP;MENDAPATKAN MENINGGAL;MENGKOMSUMSI YA;TMENGKOMSUMSI TIDAK;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK KIE;MENDAPATKAN FASILITAS RUJUKAN;TIDAK MENDAPAT FASILITAS RUJUKAN;MENDAPATKAN FASILITAS BANSOS;TIDAK MENDAPAT FASILITAS BANSOS
37;SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0
39;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1
43;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;4;0;0;3;1;2;2;0;1;0;1;0;0;4;0;4;0;4;0;4;0;0;1;3;0;1;3;0;4
47;SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;6;0;0;1;5;0;6;0;0;0;0;0;0;6;0;6;0;6;0;6;0;6;0;0;0;0;6;0;6
55;SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1
57;SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
