PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI PBKR;MATERI KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH KELUARGA ANGGOTA BKR;JUMLAH KELUARGA ANGGOTA BKR HADIR PERTEMUAN;STATUS PUS;STATUS BER-KB;JUMLAH KELUARGA ANGGOTA BKR HADIR PERTEMUAN MATERI PKBR;BULAN
SULAWESI BARAT;PASANGKAYU;LARIANG;2004;SINGGANI;1;1;100.00;1;0;0;2;1;0;150;80;48;40;80;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2005;KULU;1;1;100.00;1;0;0;1;1;0;74;55;39;29;55;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2006;BATU MATORU;1;1;100.00;1;0;0;1;1;0;87;18;15;11;18;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2007;BAMBAKORO;1;1;100.00;2;0;0;2;2;0;120;30;20;16;30;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;1001;LAKAHANG;1;1;100.00;0;1;0;1;1;0;173;130;83;82;0;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2002;PERIANGAN;1;1;100.00;1;0;0;1;1;0;35;33;27;21;33;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2003;MALATIRO;1;1;100.00;1;1;0;1;1;0;44;31;24;20;31;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2004;TABULAHAN;1;1;100.00;1;1;0;1;1;0;35;27;19;19;27;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2005;SALULEANG;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2007;TAMPAK KURRA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2008;GANDANG DEWATA;1;1;100.00;1;1;0;1;1;0;35;34;22;21;34;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2009;BURANA;1;1;100.00;1;0;0;1;1;0;35;30;23;22;30;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2010;SALUBAKKA;1;1;100.00;1;1;0;1;1;0;35;31;24;22;31;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2011;PANGANDARAN;1;1;100.00;1;0;0;1;1;0;60;50;40;36;50;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2012;TALOPAK;1;1;100.00;1;0;0;1;1;0;40;35;18;17;35;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2013;PEU';1;1;100.00;1;1;0;1;1;0;35;34;21;21;34;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2014;TIMORO;1;1;100.00;1;0;0;1;1;0;35;35;25;23;35;JANUARI
SULAWESI BARAT;MAMASA;TABULAHAN;2015;LAKAHANG UTAMA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;1011;MINAKE;1;1;100.00;1;1;0;1;1;0;20;16;10;8;16;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2001;MALABO;1;1;100.00;1;1;0;1;1;0;15;15;12;11;15;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2005;SINDAGAMANIK;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2006;PARONDOBULAWAN;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2007;TAMALANTIK;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2008;MANNABABA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2009;MESAKADA;1;1;100.00;1;1;0;1;1;0;90;26;19;19;26;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2010;BALLABATU;1;0;0.00;0;0;0;0;0;0;20;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2012;PAMBE;1;1;100.00;1;1;0;1;1;0;40;21;8;8;21;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2013;SALURANO;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2014;TALIMBUNG;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMASA;TANDUK KALUA;2015;KANAN;1;1;100.00;1;1;0;1;1;0;105;21;15;13;21;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2001;SALUMOKANAN;1;1;100.00;1;0;0;1;1;0;16;16;11;9;16;JANUARI
SULAWESI BARAT;MAMASA;RANTEBULAHAN TIMUR;2003;SALUMOKANAN BARAT;1;1;100.00;1;0;0;1;1;0;11;10;7;6;10;JANUARI
