PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI DIMENSI LANSIA TANGGUH;MATERI PEDOMAN PJP;MATERI PRA LANSIA;MATERI KELANJUT-USIAAN LAINNYA;MATERI KB DAN KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH ANGGOTA BKL;JUMLAH ANGGOTA KELUARGA HADIR;JUMLAH ANGGOTA LANSIA HADIR;STATUS PUS;STATUS BER-KB;BULAN
SULAWESI BARAT;MAMUJU;KALUKKU;1001;SINYONYOI;1;1;100.00;1;0;0;0;1;0;1;1;0;94;22;22;4;4;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;1002;BEBANGA;1;1;100.00;1;0;0;0;1;0;1;1;0;35;37;55;10;7;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;1003;KALUKKU;1;1;100.00;1;0;0;0;1;0;1;1;0;61;17;22;1;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;1014;SINYONYOI SELATAN;1;1;100.00;1;1;0;0;1;0;1;1;0;141;54;50;4;2;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2004;SONDOANG;1;1;100.00;1;0;0;0;1;0;1;1;0;24;17;23;2;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2005;BERU-BERU;1;1;100.00;1;0;0;0;1;0;1;1;0;53;23;30;2;1;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2006;BELANG BELANG;1;1;100.00;1;1;0;0;1;0;1;1;0;49;47;63;8;6;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2007;KABULOANG;1;1;100.00;1;0;0;0;1;0;1;1;0;96;14;14;1;0;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2008;KEANG;2;2;100.00;2;0;1;0;2;0;2;2;0;10;10;26;1;0;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2009;POKKANG;1;1;100.00;1;1;0;0;1;0;1;1;0;76;39;35;4;4;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2010;GULILING;1;1;100.00;1;0;1;0;1;0;1;1;0;66;38;41;7;6;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2011;UHAIMATE;1;1;100.00;1;0;0;0;1;0;1;1;0;41;18;17;3;3;JANUARI
SULAWESI BARAT;MAMUJU;KALUKKU;2012;KALUKKU BARAT;1;1;100.00;1;0;0;0;1;0;1;1;0;101;33;30;5;3;JANUARI
