;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;SIDAYA;BULAN
104;SULAWESI BARAT;MAMASA;BAMBANG;BAMBANG;0;SEPTEMBER
105;SULAWESI BARAT;MAMASA;BAMBANG;BAMBANG TIMUR;0;SEPTEMBER
106;SULAWESI BARAT;MAMASA;BAMBANG;LIMBADEBATA;0;SEPTEMBER
107;SULAWESI BARAT;MAMASA;BAMBANG;MASOSO;0;SEPTEMBER
108;SULAWESI BARAT;MAMASA;BAMBANG;MINANGA;0;SEPTEMBER
109;SULAWESI BARAT;MAMASA;BAMBANG;MOKALLANG;0;SEPTEMBER
110;SULAWESI BARAT;MAMASA;BAMBANG;RANTELEMO;0;SEPTEMBER
111;SULAWESI BARAT;MAMASA;BAMBANG;RANTETARIMA;0;SEPTEMBER
112;SULAWESI BARAT;MAMASA;BAMBANG;SALUASSING;0;SEPTEMBER
113;SULAWESI BARAT;MAMASA;BAMBANG;SALUBULO;0;SEPTEMBER
114;SULAWESI BARAT;MAMASA;BAMBANG;SALUDENGEN;0;SEPTEMBER
115;SULAWESI BARAT;MAMASA;BAMBANG;SALUKADI;3;SEPTEMBER
116;SULAWESI BARAT;MAMASA;BAMBANG;SALUKEPOPOK;0;SEPTEMBER
117;SULAWESI BARAT;MAMASA;BAMBANG;SALURURU;0;SEPTEMBER
118;SULAWESI BARAT;MAMASA;BAMBANG;SALUTABANG;0;SEPTEMBER
119;SULAWESI BARAT;MAMASA;BAMBANG;SIKAMASE;0;SEPTEMBER
120;SULAWESI BARAT;MAMASA;BAMBANG;TANETE TOMBA;0;SEPTEMBER
121;SULAWESI BARAT;MAMASA;BAMBANG;ULUMAMBI;0;SEPTEMBER
122;SULAWESI BARAT;MAMASA;BAMBANG;ULUMAMBI BARAT;0;SEPTEMBER
123;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;ARALLE TIMUR;0;SEPTEMBER
124;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;BUNTUMALANGKA;0;SEPTEMBER
125;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;KABAE;0;SEPTEMBER
126;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;KEBANGA;0;SEPTEMBER
127;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;PENATANGAN;0;SEPTEMBER
128;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;RANTEBERAN;0;SEPTEMBER
129;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALURINDU;0;SEPTEMBER
130;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN;0;SEPTEMBER
131;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN BARAT;0;SEPTEMBER
132;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN TIMUR;0;SEPTEMBER
133;SULAWESI BARAT;MAMASA;BUNTUMALANGKA;TAORA;0;SEPTEMBER
134;SULAWESI BARAT;MAMASA;MAMASA;BOMBONG LAMBE;9;SEPTEMBER
135;SULAWESI BARAT;MAMASA;MAMASA;BUBUN BATU;0;SEPTEMBER
136;SULAWESI BARAT;MAMASA;MAMASA;BUNTU BUDA;9;SEPTEMBER
137;SULAWESI BARAT;MAMASA;MAMASA;LAMBANAN;0;SEPTEMBER
138;SULAWESI BARAT;MAMASA;MAMASA;LEMBANA SALULO;9;SEPTEMBER
139;SULAWESI BARAT;MAMASA;MAMASA;MAMASA;3;SEPTEMBER
140;SULAWESI BARAT;MAMASA;MAMASA;MAMBULILING;0;SEPTEMBER
141;SULAWESI BARAT;MAMASA;MAMASA;OSANGO;0;SEPTEMBER
142;SULAWESI BARAT;MAMASA;MAMASA;PEBASSIAN;0;SEPTEMBER
143;SULAWESI BARAT;MAMASA;MAMASA;RAMBUSARATU;0;SEPTEMBER
144;SULAWESI BARAT;MAMASA;MAMASA;TAUPE;0;SEPTEMBER
145;SULAWESI BARAT;MAMASA;MAMASA;TONDOK BAKARU;0;SEPTEMBER
146;SULAWESI BARAT;MAMASA;MAMBI;BUJUNG MANURUNG;0;SEPTEMBER
147;SULAWESI BARAT;MAMASA;MAMBI;INDOBANUA;0;SEPTEMBER
148;SULAWESI BARAT;MAMASA;MAMBI;MAMBI;0;SEPTEMBER
149;SULAWESI BARAT;MAMASA;MAMBI;PAMOSEAN;0;SEPTEMBER
150;SULAWESI BARAT;MAMASA;MAMBI;RANTEBULAHAN;0;SEPTEMBER
151;SULAWESI BARAT;MAMASA;MAMBI;SALU ALO;0;SEPTEMBER
152;SULAWESI BARAT;MAMASA;MAMBI;SALUBANUA;0;SEPTEMBER
153;SULAWESI BARAT;MAMASA;MAMBI;SALUDURIAN;0;SEPTEMBER
154;SULAWESI BARAT;MAMASA;MAMBI;SELUMAKA;0;SEPTEMBER
155;SULAWESI BARAT;MAMASA;MAMBI;SENDANA;0;SEPTEMBER
156;SULAWESI BARAT;MAMASA;MAMBI;SONDONGLAYU;0;SEPTEMBER
157;SULAWESI BARAT;MAMASA;MAMBI;TALIPUKKI;0;SEPTEMBER
158;SULAWESI BARAT;MAMASA;MAMBI;TAPALINA;0;SEPTEMBER
159;SULAWESI BARAT;MAMASA;MEHALAAN;BOTTENG;0;SEPTEMBER
160;SULAWESI BARAT;MAMASA;MEHALAAN;KONDO;0;SEPTEMBER
161;SULAWESI BARAT;MAMASA;MEHALAAN;LEKO SUKAMAJU;0;SEPTEMBER
162;SULAWESI BARAT;MAMASA;MEHALAAN;MEHALAAN;0;SEPTEMBER
