;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;SIDAYA;BULAN
301;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;BALA-BALAKANG TIMUR;0;SEPTEMBER
302;SULAWESI BARAT;MAMUJU;MAMUJU;BAMBU;0;SEPTEMBER
303;SULAWESI BARAT;MAMUJU;MAMUJU;BATU PANNU;0;SEPTEMBER
304;SULAWESI BARAT;MAMUJU;MAMUJU;BINANGA;0;SEPTEMBER
305;SULAWESI BARAT;MAMUJU;MAMUJU;KARAMPUANG;0;SEPTEMBER
306;SULAWESI BARAT;MAMUJU;MAMUJU;KAREMA;0;SEPTEMBER
307;SULAWESI BARAT;MAMUJU;MAMUJU;MAMUNYU;0;SEPTEMBER
308;SULAWESI BARAT;MAMUJU;MAMUJU;RIMUKU;0;SEPTEMBER
309;SULAWESI BARAT;MAMUJU;MAMUJU;TADUI;17;SEPTEMBER
310;SULAWESI BARAT;MAMUJU;PAPALANG;BATU AMPA;0;SEPTEMBER
311;SULAWESI BARAT;MAMUJU;PAPALANG;BODA-BODA;0;SEPTEMBER
312;SULAWESI BARAT;MAMUJU;PAPALANG;BONDA;0;SEPTEMBER
313;SULAWESI BARAT;MAMUJU;PAPALANG;PAPALANG;0;SEPTEMBER
314;SULAWESI BARAT;MAMUJU;PAPALANG;SALUKAYU;10;SEPTEMBER
315;SULAWESI BARAT;MAMUJU;PAPALANG;SISANGO;3;SEPTEMBER
316;SULAWESI BARAT;MAMUJU;PAPALANG;SUKADAMAI;9;SEPTEMBER
317;SULAWESI BARAT;MAMUJU;PAPALANG;TOABO;0;SEPTEMBER
318;SULAWESI BARAT;MAMUJU;PAPALANG;TOPORE;0;SEPTEMBER
319;SULAWESI BARAT;MAMUJU;SAMPAGA;BUNDE;0;SEPTEMBER
320;SULAWESI BARAT;MAMUJU;SAMPAGA;KALONDING;0;SEPTEMBER
321;SULAWESI BARAT;MAMUJU;SAMPAGA;LOSSO;0;SEPTEMBER
322;SULAWESI BARAT;MAMUJU;SAMPAGA;SALUBARANA;14;SEPTEMBER
323;SULAWESI BARAT;MAMUJU;SAMPAGA;SAMPAGA;0;SEPTEMBER
324;SULAWESI BARAT;MAMUJU;SAMPAGA;TANAMBUAH;9;SEPTEMBER
325;SULAWESI BARAT;MAMUJU;SAMPAGA;TARAILU;0;SEPTEMBER
326;SULAWESI BARAT;MAMUJU;SIMBORO;BOTTENG;3;SEPTEMBER
327;SULAWESI BARAT;MAMUJU;SIMBORO;BOTTENG UTARA;5;SEPTEMBER
328;SULAWESI BARAT;MAMUJU;SIMBORO;PATI'DI;7;SEPTEMBER
329;SULAWESI BARAT;MAMUJU;SIMBORO;RANGAS;0;SEPTEMBER
330;SULAWESI BARAT;MAMUJU;SIMBORO;SALETTO;8;SEPTEMBER
331;SULAWESI BARAT;MAMUJU;SIMBORO;SIMBORO;21;SEPTEMBER
332;SULAWESI BARAT;MAMUJU;SIMBORO;SUMARE;0;SEPTEMBER
333;SULAWESI BARAT;MAMUJU;SIMBORO;TAPANDULLU;0;SEPTEMBER
334;SULAWESI BARAT;MAMUJU;TAPALANG;BELA;0;SEPTEMBER
335;SULAWESI BARAT;MAMUJU;TAPALANG;DAYANGINNA;0;SEPTEMBER
336;SULAWESI BARAT;MAMUJU;TAPALANG;GALUNG;10;SEPTEMBER
337;SULAWESI BARAT;MAMUJU;TAPALANG;KASAMBANG;6;SEPTEMBER
338;SULAWESI BARAT;MAMUJU;TAPALANG;KOPEANG;0;SEPTEMBER
339;SULAWESI BARAT;MAMUJU;TAPALANG;OROBATU;0;SEPTEMBER
340;SULAWESI BARAT;MAMUJU;TAPALANG;RANTEDODA;0;SEPTEMBER
341;SULAWESI BARAT;MAMUJU;TAPALANG;TAAN;0;SEPTEMBER
342;SULAWESI BARAT;MAMUJU;TAPALANG;TAKANDEANG;8;SEPTEMBER
343;SULAWESI BARAT;MAMUJU;TAPALANG;TAMPALANG;0;SEPTEMBER
344;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;AHU;3;SEPTEMBER
345;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;DUNGKAIT;0;SEPTEMBER
346;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;LABUANG RANO;0;SEPTEMBER
347;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;LEBANI;0;SEPTEMBER
348;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;PANGASAAN;1;SEPTEMBER
349;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;PASABU;3;SEPTEMBER
350;SULAWESI BARAT;MAMUJU;TAPALANG BARAT;TANETE PAO;0;SEPTEMBER
351;SULAWESI BARAT;MAMUJU;TOMMO;BUANA SAKTI;2;SEPTEMBER
352;SULAWESI BARAT;MAMUJU;TOMMO;CAMPALOGA;0;SEPTEMBER
353;SULAWESI BARAT;MAMUJU;TOMMO;KAKULLASANG;5;SEPTEMBER
354;SULAWESI BARAT;MAMUJU;TOMMO;KALEPU;0;SEPTEMBER
355;SULAWESI BARAT;MAMUJU;TOMMO;LELING;0;SEPTEMBER
356;SULAWESI BARAT;MAMUJU;TOMMO;LELING BARAT;0;SEPTEMBER
357;SULAWESI BARAT;MAMUJU;TOMMO;LELING UTARA;0;SEPTEMBER
358;SULAWESI BARAT;MAMUJU;TOMMO;MALINO;3;SEPTEMBER
359;SULAWESI BARAT;MAMUJU;TOMMO;RANTEMARIO;4;SEPTEMBER
360;SULAWESI BARAT;MAMUJU;TOMMO;SALUDENGEN;0;SEPTEMBER
361;SULAWESI BARAT;MAMUJU;TOMMO;SANDANA;0;SEPTEMBER
362;SULAWESI BARAT;MAMUJU;TOMMO;TAMEJARRA;1;SEPTEMBER
363;SULAWESI BARAT;MAMUJU;TOMMO;TAMEMONGGA;0;SEPTEMBER
364;SULAWESI BARAT;MAMUJU;TOMMO;TOMMO;0;SEPTEMBER
365;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BABANA;0;SEPTEMBER
366;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BARAKKANG;0;SEPTEMBER
367;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BOJO;0;SEPTEMBER
368;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;KIRE;0;SEPTEMBER
369;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LEMBAH HADA;2;SEPTEMBER
370;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LUMU;0;SEPTEMBER
371;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PASAPA;0;SEPTEMBER
372;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PONTANAKAYANG;0;SEPTEMBER
373;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALOGATTA;0;SEPTEMBER
374;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALUMANURUNG;0;SEPTEMBER
375;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;TINALI;0;SEPTEMBER
376;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;BENGGAULU;1;SEPTEMBER
377;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KADAILA;0;SEPTEMBER
378;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAMBUNONG;0;SEPTEMBER
379;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAROSSA;0;SEPTEMBER
380;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAYU CALLA;2;SEPTEMBER
381;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LARA;0;SEPTEMBER
382;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LEMBAH HOPO;10;SEPTEMBER
383;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SALUBIRO;0;SEPTEMBER
384;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SANJANGO;0;SEPTEMBER
385;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SUKA MAJU;0;SEPTEMBER
386;SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;TASOKKO;0;SEPTEMBER
387;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KOMBILING;0;SEPTEMBER
388;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KUO;0;SEPTEMBER
389;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LAMBA-LAMBA;0;SEPTEMBER
390;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LEMO-LEMO;0;SEPTEMBER
391;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;PANGALE;0;SEPTEMBER
392;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO CAMBA;0;SEPTEMBER
393;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO LERENG;0;SEPTEMBER
394;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO PANGALE;0;SEPTEMBER
395;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;SARTANAMAJU;0;SEPTEMBER
396;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BAMBADARU;24;SEPTEMBER
397;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BATU PARIGI;8;SEPTEMBER
398;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;MAHAHE;11;SEPTEMBER
399;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;PALONGAAN;17;SEPTEMBER
400;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOADAK;0;SEPTEMBER
401;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOBAJA;28;SEPTEMBER
402;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SEJATI;6;SEPTEMBER
403;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;TOBADAK;4;SEPTEMBER
404;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BAMBAMANURUNG;3;SEPTEMBER
405;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BUDONG-BUDONG;11;SEPTEMBER
406;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;KABUBU;5;SEPTEMBER
407;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PANGALLOANG;2;SEPTEMBER
408;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PARAILI;0;SEPTEMBER
409;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALULEKBO;0;SEPTEMBER
410;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG;0;SEPTEMBER
411;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG IV;2;SEPTEMBER
412;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SINABATTA;47;SEPTEMBER
413;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TABOLANG;10;SEPTEMBER
414;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TANGKOU;3;SEPTEMBER
415;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TAPPILINA;9;SEPTEMBER
416;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TOPOYO;24;SEPTEMBER
417;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TUMBU;38;SEPTEMBER
418;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;WAEPUTEH;0;SEPTEMBER
419;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;7;SEPTEMBER
420;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;5;SEPTEMBER
421;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;0;SEPTEMBER
422;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;0;SEPTEMBER
423;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;1;SEPTEMBER
424;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;0;SEPTEMBER
425;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;0;SEPTEMBER
426;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;1;SEPTEMBER
427;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;8;SEPTEMBER
428;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;0;SEPTEMBER
429;SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;36;SEPTEMBER
430;SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;1;SEPTEMBER
431;SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;0;SEPTEMBER
432;SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;0;SEPTEMBER
433;SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;0;SEPTEMBER
434;SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;0;SEPTEMBER
435;SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;0;SEPTEMBER
436;SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;0;SEPTEMBER
437;SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;0;SEPTEMBER
438;SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;4;SEPTEMBER
439;SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;0;SEPTEMBER
440;SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;0;SEPTEMBER
441;SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;0;SEPTEMBER
442;SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;0;SEPTEMBER
443;SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;0;SEPTEMBER
444;SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;6;SEPTEMBER
445;SULAWESI BARAT;PASANGKAYU;DAPURANG;SARASA;0;SEPTEMBER
446;SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;0;SEPTEMBER
447;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SAPTANAJAYA;5;SEPTEMBER
448;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;0;SEPTEMBER
449;SULAWESI BARAT;PASANGKAYU;DURIPOKU;TAMMARUNANG;4;SEPTEMBER
450;SULAWESI BARAT;PASANGKAYU;DURIPOKU;TARANGGI;7;SEPTEMBER
451;SULAWESI BARAT;PASANGKAYU;LARIANG;BAJAWALI;0;SEPTEMBER
452;SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;4;SEPTEMBER
453;SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;2;SEPTEMBER
454;SULAWESI BARAT;PASANGKAYU;LARIANG;KENANGAN;4;SEPTEMBER
455;SULAWESI BARAT;PASANGKAYU;LARIANG;KULU;3;SEPTEMBER
456;SULAWESI BARAT;PASANGKAYU;LARIANG;PARABU;2;SEPTEMBER
457;SULAWESI BARAT;PASANGKAYU;LARIANG;SINGGANI;5;SEPTEMBER
458;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;0;SEPTEMBER
459;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;0;SEPTEMBER
460;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;4;SEPTEMBER
461;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;0;SEPTEMBER
462;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;0;SEPTEMBER
463;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;0;SEPTEMBER
464;SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;0;SEPTEMBER
465;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;1;SEPTEMBER
466;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;0;SEPTEMBER
467;SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;5;SEPTEMBER
468;SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;0;SEPTEMBER
469;SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;0;SEPTEMBER
470;SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;0;SEPTEMBER
471;SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;0;SEPTEMBER
472;SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;9;SEPTEMBER
473;SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;0;SEPTEMBER
474;SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;0;SEPTEMBER
475;SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;0;SEPTEMBER
476;SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;0;SEPTEMBER
477;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;13;SEPTEMBER
478;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;8;SEPTEMBER
479;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;7;SEPTEMBER
480;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;4;SEPTEMBER
481;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;8;SEPTEMBER
482;SULAWESI BARAT;POLEWALI MANDAR;ALLU;ALU;11;SEPTEMBER
483;SULAWESI BARAT;POLEWALI MANDAR;ALLU;KALUMAMMANG;5;SEPTEMBER
484;SULAWESI BARAT;POLEWALI MANDAR;ALLU;MOMBI;21;SEPTEMBER
485;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PAO-PAO;9;SEPTEMBER
486;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PETOOSANG;5;SEPTEMBER
487;SULAWESI BARAT;POLEWALI MANDAR;ALLU;PUPPU URING;2;SEPTEMBER
488;SULAWESI BARAT;POLEWALI MANDAR;ALLU;SARAGIAN;8;SEPTEMBER
489;SULAWESI BARAT;POLEWALI MANDAR;ALLU;SAYOANG;6;SEPTEMBER
490;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;ANREAPI;5;SEPTEMBER
491;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;DUAMPANUA;13;SEPTEMBER
492;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;KELAPA DUA;16;SEPTEMBER
493;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;KUNYI;19;SEPTEMBER
494;SULAWESI BARAT;POLEWALI MANDAR;ANREAPI;PAPANDANGAN;0;SEPTEMBER
495;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;BALA;1;SEPTEMBER
496;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;BALANIPA;14;SEPTEMBER
497;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;GALUNG TULUK;0;SEPTEMBER
498;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;LAMBANAN;1;SEPTEMBER
499;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;LEGO;3;SEPTEMBER
500;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;MOSSO;0;SEPTEMBER
501;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;PALLIS;2;SEPTEMBER
502;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;PAMBUSUANG;15;SEPTEMBER
503;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;SABANG SUBIK;15;SEPTEMBER
504;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;TAMANGGALLE;0;SEPTEMBER
505;SULAWESI BARAT;POLEWALI MANDAR;BALANIPA;TAMMAJARRA;6;SEPTEMBER
506;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;AMASSANGAN;9;SEPTEMBER
507;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;AMOLA;6;SEPTEMBER
508;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;BATETANGNGA;40;SEPTEMBER
509;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;KALEOK;5;SEPTEMBER
510;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;KUAJANG;53;SEPTEMBER
511;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;MAMMI;6;SEPTEMBER
512;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;MIRRING;4;SEPTEMBER
513;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;PAKU;6;SEPTEMBER
514;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;REA;11;SEPTEMBER
515;SULAWESI BARAT;POLEWALI MANDAR;BINUANG;TONYAMAN;8;SEPTEMBER
516;SULAWESI BARAT;POLEWALI MANDAR;BULO;BULO;1;SEPTEMBER
517;SULAWESI BARAT;POLEWALI MANDAR;BULO;DAALA TIMUR;2;SEPTEMBER
518;SULAWESI BARAT;POLEWALI MANDAR;BULO;IHING;4;SEPTEMBER
519;SULAWESI BARAT;POLEWALI MANDAR;BULO;KAROMBANG;0;SEPTEMBER
520;SULAWESI BARAT;POLEWALI MANDAR;BULO;LENGGO;0;SEPTEMBER
521;SULAWESI BARAT;POLEWALI MANDAR;BULO;PATAMBANUA;0;SEPTEMBER
522;SULAWESI BARAT;POLEWALI MANDAR;BULO;PULLIWA;0;SEPTEMBER
523;SULAWESI BARAT;POLEWALI MANDAR;BULO;SABURA;0;SEPTEMBER
524;SULAWESI BARAT;POLEWALI MANDAR;BULO;SEPPORRAKI;2;SEPTEMBER
525;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;BONDE;1;SEPTEMBER
526;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;BOTTO;10;SEPTEMBER
527;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;GATTUNGAN;11;SEPTEMBER
528;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KATUMBANGAN;3;SEPTEMBER
529;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KATUMBANGAN LEMO;3;SEPTEMBER
530;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;KENJE;12;SEPTEMBER
531;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAGI-AGI;2;SEPTEMBER
532;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LALIKO;0;SEPTEMBER
533;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAMPOKO;8;SEPTEMBER
534;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;LAPEO;28;SEPTEMBER
535;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;ONGKO;0;SEPTEMBER
536;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PADANG;0;SEPTEMBER
537;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PADANG TIMUR;15;SEPTEMBER
538;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PANYAMPA;0;SEPTEMBER
539;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PAPPANG;72;SEPTEMBER
540;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;PARAPPE;19;SEPTEMBER
541;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SUMARRANG;0;SEPTEMBER
542;SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SURUANG;12;SEPTEMBER
543;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;LEMBANG LEMBANG;20;SEPTEMBER
544;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;LIMBORO;15;SEPTEMBER
545;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;NAPO;14;SEPTEMBER
546;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;PALECE;11;SEPTEMBER
547;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;PENDULANGAN;4;SEPTEMBER
548;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;RENGGEANG;11;SEPTEMBER
549;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;SALARRI;4;SEPTEMBER
550;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;SAMASUNDU;17;SEPTEMBER
551;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TANDASURA;7;SEPTEMBER
552;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TANGAN BARU;10;SEPTEMBER
553;SULAWESI BARAT;POLEWALI MANDAR;LIMBORO;TODANG TODANG;4;SEPTEMBER
554;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BARU;11;SEPTEMBER
555;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BATUPANGA;0;SEPTEMBER
556;SULAWESI BARAT;POLEWALI MANDAR;LUYO;BATUPANGA DAALA;0;SEPTEMBER
557;SULAWESI BARAT;POLEWALI MANDAR;LUYO;LUYO;27;SEPTEMBER
558;SULAWESI BARAT;POLEWALI MANDAR;LUYO;MAMBU;0;SEPTEMBER
559;SULAWESI BARAT;POLEWALI MANDAR;LUYO;MAPILI BARAT;16;SEPTEMBER
560;SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUCCADI;12;SEPTEMBER
561;SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUSSUI;0;SEPTEMBER
562;SULAWESI BARAT;POLEWALI MANDAR;LUYO;PUSSUI BARAT;0;SEPTEMBER
563;SULAWESI BARAT;POLEWALI MANDAR;LUYO;SAMBALI WALI;22;SEPTEMBER
564;SULAWESI BARAT;POLEWALI MANDAR;LUYO;TENGGELANG;0;SEPTEMBER
565;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BEROANGIN;20;SEPTEMBER
566;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BONNE BONNE;6;SEPTEMBER
567;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BONRA;20;SEPTEMBER
568;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;BUKU;0;SEPTEMBER
569;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;KURMA;24;SEPTEMBER
570;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;LANDI KANUSUANG;0;SEPTEMBER
571;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;MAPILI;25;SEPTEMBER
572;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;RAPPANG BARAT;11;SEPTEMBER
573;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;RUMPA;7;SEPTEMBER
574;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;SATTOKO;1;SEPTEMBER
575;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;SEGERANG;0;SEPTEMBER
576;SULAWESI BARAT;POLEWALI MANDAR;MAPILLI;UGIBARU;24;SEPTEMBER
577;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;BARUMBUNG;5;SEPTEMBER
578;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;BUNGA-BUNGA;0;SEPTEMBER
579;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;INDOMAKKOMBONG;7;SEPTEMBER
580;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;MATAKALI;11;SEPTEMBER
581;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;PASIANG;14;SEPTEMBER
582;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;PETAMPANUA;0;SEPTEMBER
583;SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;TONROLIMA;3;SEPTEMBER
584;SULAWESI BARAT;POLEWALI MANDAR;MATANGNGA;BA'BA TAPUA;1;SEPTEMBER
