PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH SASARAN;JUMLAH DITIMBANG;BULAN
SULAWESI BARAT;MAJENE;SENDANA;LALATEDZONG;86;86;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;BINANGA;90;90;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PUTTADA;96;96;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PAMINGGALAN;52;49;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LEPPANGANG;55;47;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PUNDAU;90;82;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;SENDANA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;BANUA SENDANA;119;74;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA UTARA;42;30;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LIMBORO RAMBU-RAMBU;115;101;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LIMBUA;160;96;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;BUKIT SAMANG;140;101;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;SEPPONG;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;ULIDANG;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TALLAMBALAO;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO UTARA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;MANYAMBA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;AWO;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG;349;187;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG UTARA;117;62;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO SELATAN;107;74;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;BONDE BONDE;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO TENGAH;;;SEPTEMBER
SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO POANG;;;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;KABIRAAN;;;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;SAMBABO;;;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;TANDEALLO;;;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;ULUMANDA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;SALUTAMBUNG;;;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;POPENGA;;;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;SULAI;;;SEPTEMBER
SULAWESI BARAT;MAJENE;ULUMANDA;PANGGALO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;ARALLE;78;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;RALLE ANAK;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;PANETEAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;UHAILANU;85;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;ARALLE UTARA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;UHAIDAHO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;BARURU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;RALLEANAK UTARA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;PAMOSEANG PANGGA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;KALABE;;;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;ARALLE SELATAN;47;22;SEPTEMBER
SULAWESI BARAT;MAMASA;ARALLE;HAHANGAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA;83;39;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA BARAT;40;23;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA SATANETEAN;84;40;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA TUMUKA;38;20;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;SEPAKUAN;79;34;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;PIDARA;37;21;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BAMBAPUANG;28;27;SEPTEMBER
SULAWESI BARAT;MAMASA;BALLA;BALLA TIMUR;26;17;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;MOKALLANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;MASOSO;22;18;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUASSING;71;61;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUBULO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUKADI;47;33;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUKEPOPOK;57;46;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;ULUMAMBI BARAT;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;LIMBADEBATA;65;40;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;TANETE TOMBA;36;24;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;BAMBANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;RANTELEMO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUDENGEN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;ULUMAMBI;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;BAMBANG TIMUR;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;MINANGA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SIKAMASE;52;40;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;RANTETARIMA;10;10;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALURURU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;SALUTABANG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BAMBANG;BALATANA;54;31;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;BUNTUMALANGKA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;RANTEBERAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;KEBANGA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALURINDU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;TAORA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;KABAE;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN BARAT;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;PENATANGAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN TIMUR;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;SALUTAMBUN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;BUNTUMALANGKA;ARALLE TIMUR;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;MAMASA;276;83;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;RAMBUSARATU;160;97;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;OSANGO;170;161;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;LAMBANAN;161;121;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;LEMBANA SALULO;41;28;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;TAUPE;100;53;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;BUNTU BUDA;168;158;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;TONDOK BAKARU;145;91;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;PEBASSIAN;42;35;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;MAMBULILING;60;45;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;BOMBONG LAMBE;107;60;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMASA;BUBUN BATU;80;70;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;MAMBI;;19;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;TALIPUKKI;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;RANTEBULAHAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SONDONGLAYU;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SALUBANUA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;TAPALINA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SENDANA;65;36;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;PAMOSEAN;55;21;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SELUMAKA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;BUJUNG MANURUNG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SALU ALO;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;INDOBANUA;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MAMBI;SALUDURIAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;MEHALAAN;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;BOTTENG;;;SEPTEMBER
SULAWESI BARAT;MAMASA;MEHALAAN;SALUKONTA;;;SEPTEMBER
