PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELURAHAN/DESA;JUMLAH KAMPUNG KB;2016;2017;2018;2019;> 2019;KAMPUNG KB MANDIRI;KAMPUNG KB PERCONTOHAN
SULAWESI BARAT;MAMUJU;MAMUJU;2006;KARAMPUANG;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;MAMUJU;2010;TADUI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;MAMUJU;2014;BATU PANNU;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;1001;GALUNG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;1002;KASAMBANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;1014;DAYANGINNA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;2003;OROBATU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;2006;TAKANDEANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;2009;BELA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;2010;TAAN;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;2011;TAMPALANG;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;2012;RANTEDODA;1;1;1;0;0;0;0;0;0
SULAWESI BARAT;MAMUJU;TAPALANG;2013;KOPEANG;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;1001;SINYONYOI;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;1002;BEBANGA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;1003;KALUKKU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;1014;SINYONYOI SELATAN;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2004;SONDOANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2005;BERU-BERU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2006;BELANG BELANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2007;KABULOANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2008;KEANG;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2009;POKKANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2010;GULILING;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2011;UHAIMATE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;KALUKKU;2012;KALUKKU BARAT;1;1;0;1;0;0;0;0;1
SULAWESI BARAT;MAMUJU;KALUKKU;2013;PAMMULUKANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;MAMUJU;BONEHAU;2001;BONEHAU;1;1;0;0;0;0;1;0;0
