;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH BUMIL;BUMIL TERDAMPINGI;BUMIL TIDAK TERDAMPINGI;JUMLAH BUMIL >=32 MINGGU;BUMIL >=32 MINGGU MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU TIDAK MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU AKAN KBPP;BUMIL >=32 MINGGU MEMUTUSKAN TIDAK KBPP;MENDAPATKAN TTD;TIDAK MENDAPATKAN TTD;MENGKOMSUMSI TTD;TIDAK MENGKOMSUMSI TTD;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK MENDAPAT KIE;MENDAPAT FASILITASI RUJUKAN;TIDAK MENDAPAT FASILITASI RUJUKAN;MENDAPAT FASILITASI BANSOS;TIDAK MENDAPAT FASILITASI BANSOS;BULAN
;SULAWESI BARAT;MAMUJU;KALUKKU;BEBANGA;57;7;50;4;3;0;1;2;7;0;7;0;2;4;1;0;5;2;0;7;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU;51;19;32;16;3;0;3;0;19;0;19;0;19;0;0;0;0;19;8;11;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI SELATAN;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;SONDOANG;15;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;BERU-BERU;52;26;26;13;10;0;10;0;26;0;26;0;26;0;0;0;1;25;3;23;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;BELANG BELANG;16;15;1;9;5;1;6;0;15;0;15;0;9;6;0;0;6;9;10;5;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;KABULOANG;26;19;7;11;7;0;7;0;19;0;18;1;15;1;3;0;7;12;6;13;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;KEANG;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
;SULAWESI BARAT;MAMUJU;KALUKKU;POKKANG;18;19;-1;9;6;0;6;0;19;0;19;0;18;1;0;0;19;0;3;16;SEPTEMBER
81;SULAWESI BARAT;MAMUJU;KALUKKU;GULILING;15;18;-3;7;8;0;7;1;18;0;18;0;17;1;0;0;18;0;1;17;SEPTEMBER
82;SULAWESI BARAT;MAMUJU;KALUKKU;UHAIMATE;7;1;6;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;SEPTEMBER
83;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU BARAT;27;1;26;1;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;SEPTEMBER
84;SULAWESI BARAT;MAMUJU;KALUKKU;PAMMULUKANG;22;14;8;3;2;0;1;1;9;5;9;5;11;1;1;1;0;14;0;14;SEPTEMBER
87;SULAWESI BARAT;MAMUJU;BONEHAU;BONEHAU;12;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
88;SULAWESI BARAT;MAMUJU;BONEHAU;SALUTIWO;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
89;SULAWESI BARAT;MAMUJU;BONEHAU;BUTTUADA;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
90;SULAWESI BARAT;MAMUJU;BONEHAU;TAMALEA;8;11;-3;5;4;0;4;0;11;0;11;0;11;0;0;0;11;0;11;0;SEPTEMBER
91;SULAWESI BARAT;MAMUJU;BONEHAU;LUMIKA;8;1;7;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;SEPTEMBER
92;SULAWESI BARAT;MAMUJU;BONEHAU;MAPPU;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
93;SULAWESI BARAT;MAMUJU;BONEHAU;BANUADA;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
94;SULAWESI BARAT;MAMUJU;BONEHAU;HINUA;6;5;1;5;4;0;4;0;5;0;5;0;0;0;5;0;5;0;5;0;SEPTEMBER
95;SULAWESI BARAT;MAMUJU;BONEHAU;KINATANG;6;11;-5;5;4;0;4;0;11;0;11;0;7;3;1;0;0;11;0;11;SEPTEMBER
96;SULAWESI BARAT;MAMUJU;KALUMPANG;KALUMPANG;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
97;SULAWESI BARAT;MAMUJU;KALUMPANG;KARATAUN;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
98;SULAWESI BARAT;MAMUJU;KALUMPANG;KARAMA;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
99;SULAWESI BARAT;MAMUJU;KALUMPANG;SIRAUN;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
100;SULAWESI BARAT;MAMUJU;KALUMPANG;TUMOGA;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
101;SULAWESI BARAT;MAMUJU;KALUMPANG;SALUMAKKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
102;SULAWESI BARAT;MAMUJU;KALUMPANG;POLIO;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
103;SULAWESI BARAT;MAMUJU;KALUMPANG;LIMBONG;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
104;SULAWESI BARAT;MAMUJU;KALUMPANG;SANDAPANG;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
105;SULAWESI BARAT;MAMUJU;KALUMPANG;KONDO BULO;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
106;SULAWESI BARAT;MAMUJU;KALUMPANG;MAKKALIKI;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
107;SULAWESI BARAT;MAMUJU;KALUMPANG;BATU MAKKADA;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
108;SULAWESI BARAT;MAMUJU;KALUMPANG;LASA';3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
109;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;BALA BALAKANG;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
110;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;BALA-BALAKANG TIMUR;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
111;SULAWESI BARAT;MAMUJU;SAMPAGA;BUNDE;34;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
