;PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELUARGA;JUMLAH KELUARGA SASARAN;KESEJAHTERAAN 1;KESEJAHTERAAN 2;KESEJAHTERAAN 3;KESEJAHTERAAN 4;KESEJAHTERAAN > 4;JUMLAH KRS;JUMLAH TIDAK BERESIKO;PUNYA BADUTA;PUNYA BALITA;PUS;PUS HAMIL;SUMBER AIR MINUM TIDAK LAYAK;JAMBAN TIDAK LAYAK;TERLALU MUDA;TERLALU TUA;TERLALU DEKAT;TERLALU BANYAK;PUS 4T;BUKAN PESERTA KB MODERN;PERIODE
49;SULAWESI BARAT;PASANGKAYU;SARJO;2001;SARJO;678;485;14;5;13;9;74;115;370;52;130;481;8;1;37;12;107;7;172;234;192;Sem 2 2024
50;SULAWESI BARAT;PASANGKAYU;SARJO;2002;MAPONU;373;260;8;7;4;4;88;111;149;23;53;258;3;44;52;0;59;2;65;104;140;Sem 2 2024
51;SULAWESI BARAT;PASANGKAYU;SARJO;2003;LETAWA;549;384;9;12;10;5;74;110;274;61;119;381;11;14;37;7;85;11;142;189;155;Sem 2 2024
52;SULAWESI BARAT;PASANGKAYU;SARJO;2004;SARUDE;651;408;4;11;10;8;112;145;263;36;92;408;1;23;62;5;103;5;140;201;181;Sem 2 2024
53;SULAWESI BARAT;PASANGKAYU;SARUDU;2001;SARUDU;1332;967;10;6;17;17;273;323;644;54;265;966;19;24;62;7;238;13;346;492;565;Sem 2 2024
54;SULAWESI BARAT;PASANGKAYU;SARUDU;2003;BULU MARIO;973;710;3;4;10;14;139;170;540;100;175;708;7;5;8;6;152;14;231;324;388;Sem 2 2024
55;SULAWESI BARAT;PASANGKAYU;SARUDU;2005;KUMASARI;560;413;0;0;3;7;76;86;327;48;100;413;6;6;17;3;114;1;117;195;153;Sem 2 2024
56;SULAWESI BARAT;PASANGKAYU;SARUDU;2011;PATIKA;153;113;0;4;4;2;7;17;96;10;31;112;0;0;2;0;32;0;65;72;29;Sem 2 2024
57;SULAWESI BARAT;PASANGKAYU;SARUDU;2012;DODA;645;474;1;0;9;6;74;90;384;40;112;474;2;0;33;12;119;4;171;241;143;Sem 2 2024
58;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2001;TIKKE;853;591;6;5;5;6;86;108;483;59;115;590;3;12;33;13;141;9;164;269;200;Sem 2 2024
59;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2002;MAKMUR JAYA;1061;848;3;6;8;14;89;120;728;60;214;845;2;11;0;7;218;6;251;384;286;Sem 2 2024
60;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2003;LARIANG;967;686;6;7;10;9;96;128;558;76;177;685;0;5;56;6;151;9;207;295;177;Sem 2 2024
61;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2004;PAJALELE;763;567;3;1;1;4;29;38;529;32;110;565;6;3;5;2;135;8;171;256;108;Sem 2 2024
62;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;2005;JENGENG RAYA;600;424;4;4;5;8;38;59;365;43;101;422;2;1;14;8;92;2;129;183;133;Sem 2 2024
63;SULAWESI BARAT;MAMUJU;MAMUJU;1002;BINANGA;3644;2300;10;18;38;47;630;743;1557;148;449;2293;7;6;97;24;548;35;680;1056;1516;Sem 2 2024
64;SULAWESI BARAT;MAMUJU;MAMUJU;1003;MAMUNYU;1522;1077;94;68;74;49;191;476;601;51;254;1072;0;138;351;9;292;9;384;548;379;Sem 2 2024
65;SULAWESI BARAT;MAMUJU;MAMUJU;1012;KAREMA;2454;1727;1;1;13;21;511;547;1180;140;304;1721;10;30;186;32;443;23;541;842;910;Sem 2 2024
66;SULAWESI BARAT;MAMUJU;MAMUJU;1013;RIMUKU;1982;1321;2;5;9;9;308;333;988;55;246;1317;0;5;48;14;383;16;464;722;589;Sem 2 2024
67;SULAWESI BARAT;MAMUJU;MAMUJU;2005;BAMBU;924;645;25;15;20;22;116;198;447;53;171;643;2;12;111;12;148;14;249;333;212;Sem 2 2024
68;SULAWESI BARAT;MAMUJU;MAMUJU;2006;KARAMPUANG;1004;656;3;15;25;29;94;166;490;93;168;652;11;0;111;21;146;5;194;294;189;Sem 2 2024
69;SULAWESI BARAT;MAMUJU;MAMUJU;2010;TADUI;1044;735;11;12;14;10;112;159;576;124;210;730;17;7;84;23;155;14;280;366;228;Sem 2 2024
70;SULAWESI BARAT;MAMUJU;MAMUJU;2014;BATU PANNU;364;270;15;22;43;22;15;117;153;10;87;269;0;44;69;6;58;3;87;120;59;Sem 2 2024
71;SULAWESI BARAT;MAMUJU;TAPALANG;1001;GALUNG;924;583;12;16;23;15;198;264;319;83;150;579;6;111;112;13;135;9;225;306;306;Sem 2 2024
72;SULAWESI BARAT;MAMUJU;TAPALANG;1002;KASAMBANG;650;431;24;25;20;24;70;163;268;50;121;429;1;61;49;8;103;6;188;247;162;Sem 2 2024
73;SULAWESI BARAT;MAMUJU;TAPALANG;1014;DAYANGINNA;420;268;3;9;19;19;51;101;167;19;87;264;0;9;57;4;58;2;93;133;123;Sem 2 2024
74;SULAWESI BARAT;MAMUJU;TAPALANG;2003;OROBATU;285;182;14;12;16;16;33;91;91;14;60;181;1;60;19;2;51;6;79;110;78;Sem 2 2024
75;SULAWESI BARAT;MAMUJU;TAPALANG;2006;TAKANDEANG;739;497;33;31;23;18;100;205;292;73;181;495;8;25;81;17;89;16;192;252;283;Sem 2 2024
76;SULAWESI BARAT;MAMUJU;TAPALANG;2009;BELA;107;81;28;8;3;0;4;43;38;7;33;81;0;4;30;0;16;1;47;50;29;Sem 2 2024
77;SULAWESI BARAT;MAMUJU;TAPALANG;2010;TAAN;742;496;105;43;46;30;52;276;220;47;149;495;1;40;176;7;132;14;272;326;205;Sem 2 2024
78;SULAWESI BARAT;MAMUJU;TAPALANG;2011;TAMPALANG;812;495;12;10;12;13;201;248;247;63;125;492;4;45;114;15;106;7;200;264;318;Sem 2 2024
79;SULAWESI BARAT;MAMUJU;TAPALANG;2012;RANTEDODA;290;220;7;5;6;6;97;121;99;38;60;220;16;21;44;12;47;9;100;126;157;Sem 2 2024
