;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH PASCASALIN;BERISIKO;TIDAK BERISIKO;MELAHIRKAN NORMAL;MELAHIRKAN CAESAR;KOMPLIKASI SAAT NIFAS;TIDAK KOMPLIKASI SAAT NIFAS;PENDARAHAN;HIPERTENSI;INFEKSI;KOMPLIKASI LAINNYA;MINIMAL 1 HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;TIDAK ADA YANG HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;LAHIR HIDUP SAAT DILAHIRKAN;LAHIR MENINGGAL SAAT DILAHIRKAN;KEADAAN BAYI HIDUP;KEADAAN BAYI MENINGGAL;MENDAPATKAN HIDUP;MENDAPATKAN MENINGGAL;MENGKOMSUMSI YA;TMENGKOMSUMSI TIDAK;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK KIE;MENDAPATKAN FASILITAS RUJUKAN;TIDAK MENDAPAT FASILITAS RUJUKAN;MENDAPATKAN FASILITAS BANSOS;TIDAK MENDAPAT FASILITAS BANSOS;BULAN
54;SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;6;0;0;1;5;0;6;0;0;0;0;0;0;6;0;6;0;6;0;6;0;6;0;0;0;0;6;0;6;SEPTEMBER
55;SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
56;SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
57;SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
58;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
59;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
60;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
61;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
62;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
63;SULAWESI BARAT;MAMUJU;MAMUJU;BINANGA;2;0;0;1;1;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;1;1;0;0;0;2;0;2;SEPTEMBER
64;SULAWESI BARAT;MAMUJU;MAMUJU;MAMUNYU;2;0;0;1;1;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;2;SEPTEMBER
65;SULAWESI BARAT;MAMUJU;MAMUJU;KAREMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
66;SULAWESI BARAT;MAMUJU;MAMUJU;RIMUKU;7;0;0;3;4;0;7;0;0;0;0;0;0;7;0;7;0;7;0;7;0;7;0;0;0;1;6;1;6;SEPTEMBER
67;SULAWESI BARAT;MAMUJU;MAMUJU;BAMBU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
68;SULAWESI BARAT;MAMUJU;MAMUJU;KARAMPUANG;8;0;0;8;0;0;8;0;0;0;0;0;0;8;0;8;0;8;0;8;0;6;1;1;0;0;8;1;7;SEPTEMBER
69;SULAWESI BARAT;MAMUJU;MAMUJU;TADUI;4;0;0;4;0;0;4;0;0;0;0;0;0;4;0;4;0;4;0;4;0;3;0;1;0;0;4;4;0;SEPTEMBER
70;SULAWESI BARAT;MAMUJU;MAMUJU;BATU PANNU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
71;SULAWESI BARAT;MAMUJU;TAPALANG;GALUNG;4;0;0;2;2;0;4;0;0;0;0;0;0;4;0;4;0;4;0;4;0;4;0;0;0;0;4;4;0;SEPTEMBER
72;SULAWESI BARAT;MAMUJU;TAPALANG;KASAMBANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
73;SULAWESI BARAT;MAMUJU;TAPALANG;DAYANGINNA;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
74;SULAWESI BARAT;MAMUJU;TAPALANG;OROBATU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
75;SULAWESI BARAT;MAMUJU;TAPALANG;TAKANDEANG;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
76;SULAWESI BARAT;MAMUJU;TAPALANG;BELA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
77;SULAWESI BARAT;MAMUJU;TAPALANG;TAAN;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;SEPTEMBER
78;SULAWESI BARAT;MAMUJU;TAPALANG;TAMPALANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
79;SULAWESI BARAT;MAMUJU;TAPALANG;RANTEDODA;11;0;0;7;4;0;11;0;0;0;0;0;0;11;0;11;0;10;1;10;1;11;0;0;0;0;11;0;11;SEPTEMBER
80;SULAWESI BARAT;MAMUJU;TAPALANG;KOPEANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
81;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI;4;0;0;3;1;0;4;0;0;0;0;0;0;4;0;4;0;4;0;4;0;4;0;0;0;3;1;1;3;SEPTEMBER
82;SULAWESI BARAT;MAMUJU;KALUKKU;BEBANGA;19;0;0;6;13;1;18;0;1;0;0;0;0;18;1;18;1;19;0;19;0;19;0;0;0;12;7;1;18;SEPTEMBER
83;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU;7;0;0;4;3;0;7;0;0;0;0;0;0;7;0;7;0;7;0;7;0;7;0;0;0;1;6;0;7;SEPTEMBER
84;SULAWESI BARAT;MAMUJU;KALUKKU;SINYONYOI SELATAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
85;SULAWESI BARAT;MAMUJU;KALUKKU;SONDOANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
86;SULAWESI BARAT;MAMUJU;KALUKKU;BERU-BERU;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
87;SULAWESI BARAT;MAMUJU;KALUKKU;BELANG BELANG;3;0;0;3;0;0;3;0;0;0;0;0;0;3;0;3;0;3;0;3;0;3;0;0;0;0;3;3;0;SEPTEMBER
88;SULAWESI BARAT;MAMUJU;KALUKKU;KABULOANG;4;0;0;3;1;0;4;0;0;0;0;0;0;4;0;4;0;4;0;4;0;4;0;0;0;1;3;2;2;SEPTEMBER
89;SULAWESI BARAT;MAMUJU;KALUKKU;KEANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
90;SULAWESI BARAT;MAMUJU;KALUKKU;POKKANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
91;SULAWESI BARAT;MAMUJU;KALUKKU;GULILING;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
92;SULAWESI BARAT;MAMUJU;KALUKKU;UHAIMATE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
93;SULAWESI BARAT;MAMUJU;KALUKKU;KALUKKU BARAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
94;SULAWESI BARAT;MAMUJU;KALUKKU;PAMMULUKANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
95;SULAWESI BARAT;MAMUJU;BONEHAU;BONEHAU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
96;SULAWESI BARAT;MAMUJU;BONEHAU;SALUTIWO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
97;SULAWESI BARAT;MAMUJU;BONEHAU;BUTTUADA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
98;SULAWESI BARAT;MAMUJU;BONEHAU;TAMALEA;2;0;0;2;0;0;2;0;0;0;0;1;0;1;0;1;0;2;0;2;0;2;0;0;0;2;0;2;0;SEPTEMBER
99;SULAWESI BARAT;MAMUJU;BONEHAU;LUMIKA;3;0;0;2;1;0;3;0;0;0;0;0;0;3;0;3;0;3;0;3;0;3;0;0;0;0;3;0;3;SEPTEMBER
100;SULAWESI BARAT;MAMUJU;BONEHAU;MAPPU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
101;SULAWESI BARAT;MAMUJU;BONEHAU;BANUADA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
102;SULAWESI BARAT;MAMUJU;BONEHAU;HINUA;3;0;0;2;1;0;3;0;0;0;0;0;0;3;0;3;0;3;0;3;0;0;0;3;0;3;0;3;0;SEPTEMBER
103;SULAWESI BARAT;MAMUJU;BONEHAU;KINATANG;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
104;SULAWESI BARAT;MAMUJU;KALUMPANG;KALUMPANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
105;SULAWESI BARAT;MAMUJU;KALUMPANG;KARATAUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
106;SULAWESI BARAT;MAMUJU;KALUMPANG;KARAMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
107;SULAWESI BARAT;MAMUJU;KALUMPANG;SIRAUN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
108;SULAWESI BARAT;MAMUJU;KALUMPANG;TUMOGA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
109;SULAWESI BARAT;MAMUJU;KALUMPANG;SALUMAKKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
110;SULAWESI BARAT;MAMUJU;KALUMPANG;POLIO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
111;SULAWESI BARAT;MAMUJU;KALUMPANG;LIMBONG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
112;SULAWESI BARAT;MAMUJU;KALUMPANG;SANDAPANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
113;SULAWESI BARAT;MAMUJU;KALUMPANG;KONDO BULO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
114;SULAWESI BARAT;MAMUJU;KALUMPANG;MAKKALIKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
115;SULAWESI BARAT;MAMUJU;KALUMPANG;BATU MAKKADA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
116;SULAWESI BARAT;MAMUJU;KALUMPANG;LASA';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
117;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;BALA BALAKANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
118;SULAWESI BARAT;MAMUJU;KEP. BALA BALAKANG;BALA-BALAKANG TIMUR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
